id;name;description;level
1;bypassing;next generation feed;20841
2;Home;sky blue;10284
3;input;Money Market Account;73214
4;COM encompassing connecting;invoice Lempira;40086
5;Infrastructure protocol;Practical Cotton Mouse invoice Practical;23056
6;COM Borders Cambridgeshire;wireless;61060
7;backing up neural Awesome;Awesome zero defect extend;80025
8;Baht Ergonomic Plastic Chips Garden;Iraqi Dinar Lead Intranet;11505
9;Handmade Concrete Tuna;input New Jersey action-items;11531
10;ubiquitous Plastic Practical;AI Ireland Refined Plastic Computer;87147
