id;text;location;syllabic_context;frequency
1;Borders Berkshire;MEDIAL;PENULTIMATE;RARE
2;Legacy Customizable;MEDIAL;ANTE_PENULTIMATE;REGULAR
3;Licensed;MEDIAL;ANTE_PENULTIMATE;REGULAR
4;Connecticut web services Handmade Frozen Gloves;PRE_FINAL;ANTE_ANTE_PENULTIMATE;RARE
5;Principal;INITIAL;PENULTIMATE;COMMON
6;foreground upward-trending payment;INITIAL;FINAL;REGULAR
7;Heights auxiliary;PRE_FINAL;ANTE_PENULTIMATE;RARE
8;cross-platform Cambridgeshire;MEDIAL;NON_FINAL;UNCOMMON
9;Computers Usability unleash;PRE_FINAL;ANTE_PENULTIMATE;COMMON
10;Plain pink;STEM_FINAL;NON_FINAL;UNCOMMON
