id;ipa;aka;informal_uk_gov;wiki_ipa
1;Vision-oriented;Berkshire;e-business hacking;yellow throughput
2;withdrawal logistical Beauty;quantifying reinvent Shores;Designer Corporate;Internal orchid
3;neural-net task-force;AI;Credit Card Account Money Market Account silver;Human California
4;generating;Borders;neural Dale;magenta
5;International;Wooden back up Solutions;Ergonomic AGP;plum
6;open-source;Plastic impactful;Devolved;firewall value-added
7;Bike Hat reboot;Salad;AI synthesizing;Guam violet
8;methodologies;Auto Loan Account;action-items;navigate parsing
9;Streamlined Universal Officer;COM Taiwan;Investment Account;orchid CFA Franc BCEAO intuitive
10;Markets;Small Frozen Chicken District;auxiliary Expanded framework;calculate
